,project_Name,category_name,funding_period_start,funding_period_end,no_days,starter_location,currency,money_pledged,goal,no_backers
0,Egg Mood Club Pins & Patches,Illustration,Jun 23 2020,Jul 14 2020,21,"Toronto, Canada",CA$,2995,500,55
1,Rainbow Metal Enamel Pins - Animals and Wanderlust,Illustration,Jun 23 2020,Jul 14 2020,21,"Wiltshire, UK",£,1523,600,84
2,Blossoming Pride d20 Dice Pins,Illustration,Jun 13 2020,Jul 13 2020,30,"Los Angeles, CA",$,2501,1500,124
3,Funky Fusions: An Animal Enamel Pin Kickstarter,Illustration,Jun 12 2020,Jul 12 2020,30,"Columbus, OH",$,2398,400,104
4,Sketchbook Coloring Books by Herb Leonhard,Illustration,Jun 13 2020,Jul 13 2020,30,"Prosser, WA",$,3098,500,51
5,Tufts of Feathers Enamel Pins,Art,Jun 19 2020,Jul 12 2020,22,"Toronto, Canada",CA$,5561,1000,125
6,Toebeans! A Collection of Anime Cat Enamel Pins,Illustration,Jun 28 2020,Jul 11 2020,13,"New York, NY",$,8259,1200,186
7,Yuri Pride Pins,Art,Jun 24 2020,Jul 14 2020,20,"Worthing, UK",£,1942,1700,49
8,Mental Health Awareness Enamel Pins,Illustration,Jun 12 2020,Jul 12 2020,30,"Vancouver, Canada",CA$,3867,700,145
9,Los ángeles: songs of sirens caught in celluloid,Illustration,Jun 10 2020,Jul 10 2020,30,"Hollywood, Los Angeles, CA",€,57669,8000,571
10,Mage Cards Oracle Decks,Art,Jun 24 2020,Jul 9 2020,15,"Lisbon, Portugal",CA$,11428,3000,94
11,An OTP Pride Enamel Pin Series Vol. 2,Art,Jun 14 2020,Jul 9 2020,25,"Palo Alto, CA",$,23355,600,425
12,Felix the Fox Enamel Pin Project,Art,May 29 2020,Jul 12 2020,44,"Exmouth, UK",£,1457,680,52
13,The Mermaid: A Mermay Collection,Illustration,Jun 12 2020,Jul 12 2020,30,"Thame, UK",£,956,200,47
14,John Avon's Playmat Extravaganza,Illustration,Sep 20 2019,Nov 17 2019,58,"Brighton and Hove City, UK",£,185991,15000,2725
15,Magical Cross-over ita bag!,Art,Apr 28 2020,Jun 27 2020,60,"Singapore, Singapore",S$,21648,7000,197
16,Tamako - The Friend-shaped Egg Cat Keychain Plush,Textiles,Jun 19 2020,Jul 10 2020,21,"Kitchener, Canada",CA$,4791,2000,143
17,Flowery Enamel Pins for Avatar: The Last Airbender,Art,Jun 19 2020,Jul 13 2020,24,"Monroe, MI",$,622,300,18
18,Critters from Beyond Enamel Pins ~Artlluminate~,Art,May 27 2020,Jul 11 2020,45,"Seattle, WA",$,1091,450,47
19,A Caffeinated Art Book,Mixed Media,Jun 12 2020,Jul 12 2020,30,"Austin, TX",$,3262,1000,64
20,Leather Chop Cup By TCC PRESENTS,Performance Art,Apr 15 2020,May 6 2020,21,"Hong Kong, Hong Kong",HK$,363427,30000,504
21,Rustic Roots Lenormand,Illustration,Jun 17 2020,Jul 9 2020,21,"Millbrook, Canada",CA$,8895,2000,163
22,Flo's Flower Creations,Mixed Media,Jun 16 2020,Jul 14 2020,27,"Richardson, TX",$,611,500,16
23,AC Dreamie Enamel Pins,Illustration,Jun 9 2020,Jun 23 2020,14,"Hong Kong, Hong Kong",HK$,18018,2500,86
24,Into the Wild Enamel Pins,Illustration,May 15 2020,Jun 9 2020,25,"Costa Mesa, CA",$,2776,300,84
25,PORTENTS illustrated jewellery,Illustration,Feb 25 2020,Apr 7 2020,35,"Cambridge, UK",£,1435,800,43
26,Hobbit inspired pins,Illustration,May 12 2020,Jun 11 2020,30,"West Worthing, UK",£,823,350,52
27,"A-Z Memories of a Magical Childhood in Mill Valley, CA",Illustration,May 17 2020,Jun 16 2020,30,"Petaluma, CA",$,3741,3500,53
28,Toebeans : Hard Enamel Pins,Illustration,Mar 22 2020,Apr 21 2020,30,"Suffolk, UK",£,277,250,21
29,Sexy Koimaid Hard Enamel Pin,Digital Art,May 11 2020,May 31 2020,20,"Evansville, IN",$,2008,500,51
30,The Food Healing Oracle Deck™,Mixed Media,Feb 21 2020,Mar 22 2020,30,"Bokeelia, FL",$,14741,12222,142
31,Horrible Ugly Monsters Trading Cards THE SET & WAX BOXES,Illustration,May 25 2020,Jun 24 2020,30,"Tallahassee, FL",$,5479,666,85
32,Dragon Cuisine,Art,Jan 29 2020,Feb 28 2020,30,"Weybridge, UK",£,2671,250,106
33,Garden Grumps: Cute Peach and Pineapple Crab Plush Toys,Art,Mar 3 2020,Apr 9 2020,37,"Sacramento, CA",$,10447,7500,260
34,Pokemon Eeveelution Magic Wand Enamel Pins,Illustration,Apr 30 2020,May 20 2020,20,"Macomb, MI",$,1692,550,41
35,Pride Dragons & Animal Designs Dapper & Steampunk figures!,Sculpture,Jun 4 2020,Jun 30 2020,26,"Colorado Springs, CO",$,370,100,13
36,Magical Girl Floral Familiar Enamel Pin Set,Digital Art,Mar 29 2020,Apr 28 2020,30,"Los Angeles, CA",$,2066,300,80
37,Tarotwave: An Aesthetic Tarot Deck - Second Printing!,Digital Art,Mar 1 2020,Apr 30 2020,60,"Orlando, FL",$,15666,3500,315
38,Fuzzballs Vs Video Games - Cats and Bunnies Geek Enamel Pins,Illustration,Jun 5 2020,Jul 2 2020,27,"London, UK",£,2383,600,95
39,Cardcaptor Sakura Acrylic Charms,Illustration,Jun 2 2020,Jun 16 2020,14,"Tokyo, Japan",HK$,4335,1750,23
40,Beastie Babies - Enamel Pins,Art,Jan 31 2020,Mar 1 2020,30,"Sydney, AU",AU$,5604,900,137
41,CLAMP Collection: Hard Enamel Pins,Illustration,Apr 30 2020,May 30 2020,30,"Irmo, Columbia, SC",$,8000,600,167
42,Hogw_arts_shop Enamel Pins - We Can Do It Collection,Illustration,May 16 2020,Jun 15 2020,30,"France, France",€,1748,350,60
43,Quarantine Feline,Illustration,May 23 2020,Jun 22 2020,30,"Toronto, Canada",CA$,917,450,34
44,SUCKADELIC Stoopid Stickers by The Super Sucklord - NSFW,Art,Jun 17 2020,Jul 10 2020,23,"New York, NY",$,2003,299,53
45,Memento Mori ❀☠❀ Floral Animal Skull Enamel Pins,Art,Mar 4 2020,Mar 30 2020,25,"Houston, TX",$,1408,500,38
46,Bad Girl Oracle Deck,Illustration,Jun 9 2020,Jul 9 2020,30,"Brooklyn, NY",$,18596,8000,293
47,Foodie Buddy Kawaii Enamel Pin,Illustration,Feb 20 2019,Mar 6 2019,13,"Sacramento, CA",$,4527,300,166
48,Evolution Buddies: Eeveelution Enamel Pins,Art,Mar 3 2020,Apr 2 2020,30,"Redding, CA",$,2485,1500,92
49,Make 100 Handpainted Bumblebees 🐝,Art,Jan 1 2020,Feb 10 2020,40,"Kaisersesch, Germany",€,4695,150,163
50,Lactose Intolerant in Denial: An Enamel Pin for the Stubborn,Art,May 8 2020,May 22 2020,14,"New Haven, CT",$,967,400,45
51,"Kawaii Magical Mews, Vol 2",Illustration,Jun 7 2020,Jun 28 2020,21,"Vallejo, CA",$,474,300,18
52,HELLO I AM A... Enamel pins *PART 1*,Digital Art,Apr 3 2020,Apr 30 2020,27,"Manchester, UK",£,3969,290,189
53,Waterfall Tarot,Painting,May 25 2020,Jun 24 2020,30,"Austin, TX",$,6168,3000,112
54,The Art of Mark May Sketchbook 2018 through 2020,Illustration,Jun 1 2020,Jun 30 2020,28,"Westminster, CO",$,1138,500,24
55,Harry Potter Ugly Sweater Enamel Pins,Illustration,May 23 2020,Jun 22 2020,30,"Lexington, KY",$,1700,1600,73
56,Jim Henson's Labyrinth & The Dark Crystal Collectible Models,Sculpture,Apr 24 2020,May 24 2020,30,"Middlesbrough, UK",£,119162,10000,1078
57,Chronic Warrior Enamel Pins,Illustration,Jun 27 2019,Jul 26 2019,29,"Cambridge, UK",£,1514,400,84
58,Superheroes of the world (charitable project),Social Practice,Jul 2 2020,Jul 12 2020,10,"Mexico City, Mexico",MX$,8126,5000,5
59,Pretty Mahou Shojou Project,Digital Art,Feb 12 2020,Mar 3 2020,20,"Los Angeles, CA",$,7584,400,152
60,Thirsty Summer Vibes: Cute Drink Gold Enamel Pins (Kawaii),Illustration,Jun 19 2020,Jul 10 2020,21,"Toronto, Canada",CA$,1816,225,41
61,My Hero Academia Enamel Pins,Illustration,Jan 28 2020,Feb 27 2020,30,"Sydney, AU",AU$,1692,400,38
62,MCU enamel pin series Third Collection,Art,Feb 14 2020,Mar 5 2020,20,"Singapore, Singapore",S$,2369,1500,49
63,GOTHICUM: A Colouring Book for the Strange and Unusual,Illustration,May 17 2020,Jun 6 2020,20,"Calgary, Canada",CA$,3340,1500,72
64,Changing the Narrative,Video Art,May 9 2020,Jul 8 2020,60,"Kumasi, Ghana",$,26508,25000,135
65,Pastel Witch Hat Enamel Pin,Conceptual Art,May 5 2020,Jun 4 2020,30,"Cincinnati, OH",$,600,500,26
66,Pride Cat Enamel Pins,Illustration,May 11 2020,Jun 1 2020,21,"Toronto, Canada",CA$,1994,665,73
